group,key,label,n,mean_rmsd,median_rmsd,p95_rmsd,paired_pc10_mean,paired_pc10_median,true_target_rank_mean,true_target_rank_median,top1_rate,top5_rate,top10_rate,top20_rate,top50_rate,top100_rate
exp100k_mixed,direct100k_teacheronly_from50k,Direct image 512D teacher-only trained,19750,4.583818435668945,4.313562870025635,7.958876609802246,2.9641735553741455,2.8385109901428223,8807.482025316456,8399.0,0.0001518987341772152,0.0006075949367088608,0.0012151898734177216,0.002430379746835443,0.005316455696202532,0.010278481012658228
exp100k_raw_uncentered,mean_target_baseline,Mean target baseline,9875,4.876489162445068,4.628443717956543,8.336919784545898,3.024972438812256,2.8944647312164307,,,,,,,,
exp100k_raw_uncentered,random_target_baseline,Random target baseline,9875,6.935873508453369,6.590973854064941,11.752908706665039,4.3086676597595215,4.172828197479248,,,,,,,,
exp100k_raw_uncentered,direct100k_raw_uncentered_from50k,"Raw-particle direct image, 512-dimensional",9875,4.308765888214111,4.048515796661377,7.424122333526611,2.9087772369384766,2.785954713821411,4152.465518987342,3826.0,0.00020253164556962027,0.0015189873417721519,0.0027341772151898733,0.0054683544303797465,0.011746835443037975,0.02329113924050633
exp100k_raw_uncentered,direct100k_raw_confweight_from_rawbest,Raw-particle 512-dimensional + confidence weighting,9875,4.314737319946289,4.055861473083496,7.452585697174072,2.9114232063293457,2.78719162940979,4206.777620253165,3938.0,0.00010126582278481013,0.0012151898734177216,0.0027341772151898733,0.005164556962025317,0.011645569620253165,0.0219746835443038
exp100k_raw_uncentered,direct100k_raw_unweighted_from_rawbest,Raw-particle 512-dimensional + unweighted fine-tune,9875,4.316826343536377,4.053666591644287,7.454005718231201,2.90962290763855,2.7864789962768555,4164.333569620253,3849.0,0.00010126582278481013,0.0012151898734177216,0.0028354430379746837,0.005974683544303797,0.011341772151898735,0.02389873417721519
exp100k_raw_uncentered,direct100k_raw_bottleneck1024_from_rawbest,Raw-particle 1024-dimensional capacity control,9875,4.308351516723633,4.031528949737549,7.423153400421143,2.914621353149414,2.7891154289245605,4130.495493670886,3801.0,0.0003037974683544304,0.0014177215189873419,0.0027341772151898733,0.0056708860759493674,0.011949367088607594,0.02420253164556962
exp100k_raw_uncentered,direct100k_raw_pcarank005_rankonly_from_rawbest,Raw-particle 512-dimensional + PCA-rank objective,9875,4.3238725662231445,4.059453010559082,7.431448459625244,2.958444833755493,2.842468738555908,4091.2769620253166,3737.0,0.0005063291139240507,0.0019240506329113924,0.0028354430379746837,0.0054683544303797465,0.013772151898734177,0.025417721518987343
exp100k_raw_uncentered,direct100k_raw_from_teacheronly100k,Raw-particle 512-dimensional initialized from teacher-reconstructed pretraining,9875,4.305252552032471,4.050164222717285,7.436612606048584,2.906238079071045,2.777040958404541,4186.767392405063,3889.0,0.0,0.0014177215189873419,0.0030379746835443038,0.0056708860759493674,0.011443037974683544,0.0229873417721519
exp100k_raw_uncentered,direct100k_raw_contrastive002_from_rawbest,Raw-particle 512-dimensional + contrastive assignment objective,9875,4.3131632804870605,4.049205780029297,7.450847148895264,2.908712387084961,2.783885955810547,4165.383898734177,3862.0,0.00010126582278481013,0.0013164556962025316,0.0028354430379746837,0.005974683544303797,0.011341772151898735,0.02379746835443038
exp100k_raw_uncentered,direct100k_raw_contrastive002_retrieved_top1,Contrastive nearest retrieved surrogate coordinate,9875,5.6913886070251465,5.377413749694824,9.6118803024292,3.7548749446868896,3.6337695121765137,3806.0646075949367,3266.0,0.0,0.0027341772151898733,0.005063291139240506,0.009113924050632912,0.01782278481012658,0.03169620253164557
exp100k_raw_uncentered,direct100k_raw_contrastive002_retrieved_top5_mean,Contrastive top-five mean retrieved surrogate coordinate,9875,5.2876152992248535,5.01745080947876,8.974920272827148,3.391160488128662,3.298954725265503,3663.756253164557,3108.0,0.00010126582278481013,0.0018227848101265822,0.0032405063291139242,0.00749367088607595,0.019037974683544304,0.033924050632911394
exp100k_raw_uncentered,direct100k_raw_contrastive002_retrieved_top10_mean,Contrastive top-ten mean retrieved surrogate coordinate,9875,5.199794769287109,4.9060235023498535,8.829161643981934,3.30743145942688,3.2126433849334717,3635.616,3018.0,0.00010126582278481013,0.0016202531645569621,0.0034430379746835443,0.007291139240506329,0.018430379746835444,0.03473417721518987
exp100k_raw_uncentered,direct100k_raw_contrastive002_retrieved_top20_mean,Contrastive top-twenty mean retrieved surrogate coordinate,9875,5.122791767120361,4.826848030090332,8.774476051330566,3.234860897064209,3.1360580921173096,3611.0040506329115,3003.0,0.0003037974683544304,0.0012151898734177216,0.0029367088607594937,0.00779746835443038,0.020151898734177214,0.037670886075949366
exp100k_raw_uncentered,direct100k_raw_contrastive002_weighted_local_best,Contrastive weighted local coordinate blend,9875,4.31219482421875,4.046543598175049,7.465797424316406,2.908007860183716,2.787180185317993,4125.7602025316455,3804.0,0.00010126582278481013,0.0011139240506329114,0.0029367088607594937,0.006278481012658228,0.011645569620253165,0.02481012658227848
exp100k_raw_uncentered,direct100k_raw_retrieve_refine_k5,"Retrieve-then-refine residual model, top-five prototype",9875,4.342841148376465,4.06360387802124,7.487135410308838,2.9123501777648926,2.792731761932373,4038.155341772152,3662.0,0.0,0.0014177215189873419,0.0029367088607594937,0.005367088607594937,0.013164556962025316,0.026227848101265824
exp100k_raw_uncentered,direct100k_raw_retrieve_refine_k10,"Retrieve-then-refine residual model, top-ten prototype",9875,4.3391289710998535,4.061681747436523,7.506726264953613,2.9233274459838867,2.803568124771118,4039.835746835443,3653.0,0.00020253164556962027,0.0015189873417721519,0.0028354430379746837,0.0060759493670886075,0.014379746835443038,0.027949367088607596
exp100k_raw_uncentered,direct100k_raw_retrieve_refine_k20,"Retrieve-then-refine residual model, top-twenty prototype",9875,4.329911231994629,4.056435585021973,7.45357608795166,2.9191606044769287,2.7995104789733887,4032.6737215189873,3658.0,0.00020253164556962027,0.0014177215189873419,0.0028354430379746837,0.005772151898734177,0.014481012658227849,0.027240506329113925
